"","3-5","5-10","10-20","20-30","30-40","40-50","50-60","knife","img","match"
"1",0.984611915956404,0.876794795643162,0.643732890646926,0.419954701323096,0.264803617392418,0.169829824044539,0.108950467911617,"S01:S01",1,"match"
"2",0.957644146563969,0.877144266704524,0.784617485956953,0.452548924936509,0.22160978401557,0.146735444380934,0.0844503982561608,"S01:S01",2,"match"
"3",0.912430123646825,0.900542405682412,0.68222965860735,0.450026389325403,0.261319923128071,0.28330374408851,0.0597395957982881,"S01:S01",3,"match"
"4",0.983673974725619,0.907544675385343,0.614577953431303,0.480915168452912,0.245996539472831,0.192019992932278,0.100824151057157,"S01:S01",4,"match"
"5",0.795807542431618,0.939511837520915,0.78330071107287,0.405072416240411,0.348979376840661,0.141261417707996,0.141350747526361,"S01:S01",5,"match"
"6",0.940692566871437,0.915161199573554,0.662078683710408,0.337785256563855,0.228550482449447,0.126818599581013,0.117150616286601,"S01:S01",6,"match"
"7",0.777919748185973,0.914012198300211,0.738831270396191,0.446243850024628,0.294430959880343,0.205736027014692,0.288216713418313,"S02:S02",1,"match"
"8",0.982142736083875,0.905239309392763,0.821343774950315,0.588648503137073,0.354786001653739,0.275783541293352,0.207700366306561,"S02:S02",2,"match"
"9",0.980280800970855,0.941214584025409,0.80400878535497,0.53514420126459,0.447935021737663,0.252429724092548,0.240660890268135,"S02:S02",3,"match"
"10",0.960644835936705,0.946981422648943,0.820342658255072,0.629210616784008,0.421519982462506,0.297498833836937,0.178700763391481,"S02:S02",4,"match"
"11",0.981452467562283,0.938356838833509,0.813888222263491,0.566984329544036,0.518600812767381,0.307653547138962,0.176640236584758,"S02:S02",5,"match"
"12",0.963778092426548,0.909834492655562,0.93705966620667,0.707124540900608,0.561876984572669,0.4120769950813,0.210111812137708,"S02:S02",6,"match"
"13",0.624620205208879,0.900799053768368,0.871888238539868,0.762973073571081,0.690835749930429,0.562332154760111,0.575373965043106,"S03:S03",1,"match"
"14",0.742700345115236,0.918457315245807,0.816020512272731,0.700836830026773,0.712208236505972,0.55745714075671,0.479224922539004,"S03:S03",2,"match"
"15",0.877406653072192,0.943657250938439,0.904001380451524,0.732139458096109,0.677481813376589,0.499954980174836,0.408829525015558,"S03:S03",3,"match"
"16",0.918263573175211,0.896822600142641,0.795692687306032,0.709678460131011,0.419849424172563,0.429215246345022,0.448035034079588,"S03:S03",4,"match"
"17",0.796590275917377,0.917349067849179,0.823297001179067,0.688308044625154,0.476443227609357,0.355962491584915,0.394242672054077,"S03:S03",5,"match"
"18",0.976120236742211,0.950592784123191,0.797342914983984,0.651634901433161,0.457274267475708,0.393556627325296,0.338098366714197,"S03:S03",6,"match"
"19",0.991097492349258,0.941976611551174,0.84717758708216,0.640538922093047,0.292789084698897,0.317946020596436,0.183048404035345,"S04:S04",1,"match"
"20",0.856332835905667,0.753385084776996,0.529499908648746,0.4716340949269,0.299375863709058,0.106379347301614,0.157932523371786,"S04:S04",2,"match"
"21",0.405261925291024,0.807307335691608,0.585810859007988,0.419181308640906,0.331782629063521,0.190247555561622,0.155274766091482,"S04:S04",3,"match"
"22",0.482807749689311,0.445292388624936,0.454508493142083,0.383888130570242,0.234560038541999,0.110041682106168,0.0513630172232056,"S04:S04",4,"match"
"23",0.486849494065556,0.632820351816205,0.527138833701482,0.401993683066637,0.137888244535501,0.0561556077075285,0.0639663337830943,"S04:S04",5,"match"
"24",0.59775506171226,0.861176551071278,0.670785762676386,0.433361333436502,0.332204864415494,0.189191943196488,0.110865884896574,"S04:S04",6,"match"
