"","3-5","5-10","10-20","20-30","30-40","20-25","25-33","33-50","50-67","67-100","100-133","133-200","knife","img","match"
"53",0.90182958590699,0.918773867760241,0.602800210266933,0.319362705913269,0.141723544601499,0.270112754876437,0.163097845576112,0.200351751758959,0.0458402393457472,0.134452062803083,0.0519730932938958,0.0803690926549016,"S09:S09",5,"match"
"54",0.800811192368457,0.80963211800735,0.620883959445193,0.222260780587054,0.0108059790841496,0.10608226038597,0.139760665465191,0.085444242844182,0.0913536152877319,0.145586022101278,0.0831043133331129,0.0841399245922679,"S09:S09",6,"match"
"55",0.846455986333028,0.917833268940941,0.596752363037512,0.262911682438658,0.194015213472788,0.202887538850934,0.213591887458167,0.205431090153614,0.115470133873006,0.128111880262053,0.0830793353453148,0.0976092493929866,"S10:S10",1,"match"
"56",-0.0412681958759382,0.692034559133093,0.525068801222561,0.400209035460235,0.0811140051577921,0.400758386974556,0.271106205918283,0.148794071364171,0.116155913102184,0.124646040074573,0.0301931924522063,0.0771861089855844,"S10:S10",2,"match"
"57",0.932474942600823,0.943763796527908,0.726009549483818,0.472366926002995,0.236028851998968,0.470166324531569,0.313978412921589,0.186104807616461,0.114394285491426,0.127280853597168,0.0662087433454059,0.0743361288693709,"S10:S10",3,"match"
"58",0.872530012969593,0.960797525252557,0.640185547404694,0.469187801221858,0.319016296357344,0.459230500627191,0.348628837177655,0.283730918493464,0.118364933285425,0.109937214924312,0.0755426243682652,0.0856664588639114,"S10:S10",4,"match"
"59",0.963010966679815,0.863223378411888,0.834817351440431,0.490704770448511,0.263801995251077,0.44870445606846,0.371508414828496,0.274971029600166,0.0702024282231506,0.129475692246534,0.0893079454948432,0.0754204956497825,"S10:S10",5,"match"
"60",0.652286394817529,0.9054523786606,0.791517627023398,0.487150475666257,0.291116536827498,0.476133962959383,0.404047754085211,0.269386115882074,0.110069632243819,0.131078974683794,0.0565354064289507,0.0955060524283835,"S10:S10",6,"match"
"61",0.613389711997533,0.160102210681631,0.340587882809979,0.153331504721377,0.00613160642347566,0.188758191928932,0.0637177727660284,0.162216311985343,0.0437985192034243,0.116189120165547,0.0971018496412585,0.0927881048282393,"S01:S02",1,"nonmatch"
"62",0.287108041237009,0.536755207706195,0.389703336206608,0.243592475077106,0.0847094244139364,0.256255032653409,0.0413135524246337,0.121921297342184,0.0475166371319151,0.112103404392859,0.0874289283498243,0.0957228028003432,"S01:S02",2,"nonmatch"
